RecordID_Int,ParcelNumber,StreetNumber,StreetName,Unit,StateCode,TaxType,Zone,TaxDist,Legal,Acreage,GPIN
8393,370085550,1619,AMHERST ST,,1.0 Residential (Urban),Taxable,R-2,,LOT 10 BK D SEC 2 WOODLAWN,0.232,2963
8394,370085560,1617-B,AMHERST ST,,1.0 Residential (Urban),Taxable,R-2,,LOT 9B BK D SEC 2 WOODLAWN,0.107,2975
8395,37008556A,1617-A,AMHERST ST,,1.0 Residential (Urban),Taxable,R-2,,LOT 9A BK D SEC 2 WOODLAWN,0.128,2978
8396,370085570,1615,AMHERST ST,B,1.0 Residential (Urban),Taxable,R-2,,LOT 8B BK D SEC 2 WOODLAWN,0.118,2983
8397,37008557A,1615-A,AMHERST ST,,1.0 Residential (Urban),Taxable,R-2,,LOT 8A BK D SEC 2 WOODLAWN,0.123,2988
8398,370085580,1613-B,AMHERST ST,,1.0 Residential (Urban),Taxable,R-2,01,LOT 7B BK D SEC 2 WOODLAWN,0.127,2992
8399,37008558A,1613-A,AMHERST ST,,1.0 Residential (Urban),Taxable,R-2,,LOT 7A BK D SEC 2 WOODLAWN,0.129,2995
8400,370085590,1611-B,AMHERST ST,,1.0 Residential (Urban),Taxable,R-2,,LOT 6B BK D SEC 2 WOODLAWN,0.13,3002
8401,37008559A,1611-A,AMHERST ST,,1.0 Residential (Urban),Taxable,R-2,,LOT 6A BK D SEC 2 WOODLAWN,0.132,3008
8402,370085600,1203,GREENWAY RD,,1.0 Residential (Urban),Taxable,R-1,,LOT 1 BK D SEC 1 WOODLAWN,0.2,3048
8403,370085601,1609-B,AMHERST ST,,1.0 Residential (Urban),Taxable,R-2,,LOT 5B BK D SEC 2 WOODLAWN,0.12,3013
8404,37008560A,1609-A,AMHERST ST,,1.0 Residential (Urban),Taxable,R-2,,LOT 5A BK D SEC 2 WOODLAWN,0.18,3017
8405,370085610,1607-B,AMHERST ST,,1.0 Residential (Urban),Taxable,R-2,01,LOT 4B BK D SEC 2 WOODLAWN,0.23,3021
8406,37008561A,1607-A,AMHERST ST,,1.0 Residential (Urban),Taxable,R-2,01,LOT 4A BK D SEC 2 WOODLAWN,0.12,3035
8407,370085620,1605,AMHERST ST,,1.0 Residential (Urban),Taxable,R-1,,LOT 3 BK D SEC 2 WOODLAWN,0.266,3039
8408,370085700,1201,GREENWAY RD,,1.0 Residential (Urban),Taxable,R-1,,LOT 2 BK D SEC 1 WOODLAWN,0.224,3114
8409,370085800,1523,AMHERST ST,,1.0 Residential (Urban),Taxable,R-1,,LOT 6 BK A SEC 1 WOODLAND,0.246,3102
8410,370085900,1521,AMHERST ST,,1.0 Residential (Urban),Taxable,R-1,,LOT 5 BK A WOODLAWN,0.246,3108
8411,370085990,0,ROSE HILL DR,,1.0 Residential (Urban),Taxable,R-2,,MADISON PLACE COMMON AREA,0.063,3341
8412,370085A00,101,KELSEY CT,,1.0 Residential (Urban),Taxable,PUD,,LOT 1 MADISON PLACE,0.076,3487
8413,370085B00,103,KELSEY CT,,1.0 Residential (Urban),Taxable,PUD,,LOT 2 MADISON PLACE,0.075,3455
8414,370085C00,105,KELSEY CT,,1.0 Residential (Urban),Taxable,PUD,,LOT 3 MADISON PLACE,0.074,3429
8415,370085D00,107,KELSEY CT,,1.0 Residential (Urban),Taxable,PUD,,LOT 4 MADISON PLACE,0.074,3383
8416,370085E00,106,KELSEY CT,,1.0 Residential (Urban),Taxable,PUD,,LOT 5 MADISON PLACE,0.074,3400
