RecordID_Int,ParcelNumber,StreetNumber,StreetName,Unit,UseCode,Style,Grade,Roof,Flooring,Heating,Fireplace,YearBuilt,TotalRooms,Bedrooms,HalfBathrooms,FullBathrooms,BasementGarage,Basement,FinishedBasement,BasementType,ExternalWalls,NumberOfStories,SquareFootageFinishedLiving
2283,180027000,2407,JEFFERSON PARK AVE,,Single Family-1 Conversion,1 Story,C,Shingles,None,Gas Wall Unit,0,1950,3,1,0,1,0,,,No Basement,Wood,1.00,677
2282,180027000,2407,JEFFERSON PARK AVE,,Single Family-1 Conversion,1.5 Story,B,Slate,Hardwood,Hot Water Radiator,1,1910,7,3,0,2,0,362,,Partial Basement,Brick Veneer,1.75,2698
2284,180028000,2411,JEFFERSON PARK AVE,,Single Family,2 Story,B,Metal,Hardwood,Hot Water Radiator,1,1914,11,6,0,3,0,1307,375,Full Basement,Brick Veneer,2.00,3281
2285,180029000,2413,JEFFERSON PARK AVE,,Single Family-1 Conversion,2 Story,B,Shingles,Hardwood,Hot Water Radiator,1,1930,7,4,0,2,0,747,,Full Basement,Brick Veneer,2.00,1607
2286,180029000,2413,JEFFERSON PARK AVE,,Single Family-1 Conversion,1 Story,C,Shingles,None,Gas Wall Unit,0,1930,3,1,0,1,0,,,No Basement,Concrete Block,1.00,537
2287,180030000,2415,JEFFERSON PARK AVE,,Single Family,2 Story,B,Shingles,Hardwood,Forced Air,0,1928,8,4,0,2,0,420,0,Partial Basement,Brick Veneer,2.00,1930
2288,180031000,2419,JEFFERSON PARK AVE,,Single Family-1 Conversion,1.5 Story,B,Metal,Hardwood,Hot Water Radiator,1,1954,12,5,0,4,0,1167,875,Full Basement,Brick Veneer,1.66,1937
2289,180031100,2417,JEFFERSON PARK AVE,,Single Family-3 Conversion,2 Story,B,Shingles,Hardwood,Heat Pump,2,1920,11,6,0,3,0,1283,710,Full Basement,Brick Veneer,2.00,2315
2290,180031100,2417,JEFFERSON PARK AVE,,Single Family-3 Conversion,2 Story,C,Shingles,None,Gas Wall Unit,0,1950,6,2,0,2,0,,,No Basement,Asbestos,2.00,1382
2292,180032000,2421,JEFFERSON PARK AVE,,Single Family,2 Story,B,Metal,Hardwood,Hot Water Radiator,1,1910,7,3,0,2,0,574,,Full Basement,Asbestos,2.00,2463
2291,180032000,2421,JEFFERSON PARK AVE,,Single Family,1 Story,C,Built Up,None,Hot Water Radiator,0,1950,5,2,0,1,0,521,260,Partial Basement,Concrete Block,1.00,1042
2293,180033000,2425,JEFFERSON PARK AVE,,Single Family,2 Story,B,Metal,Hardwood,Hot Water Radiator,0,1923,7,4,1,1,0,857,,Full Basement,Asbestos,2.00,1873
2294,180033000,2425,JEFFERSON PARK AVE,,Single Family,1 Story,C,Shingles,None,Gas Wall Unit,0,1950,4,2,0,1,0,,,No Basement,Asbestos,1.00,823
2296,180034100,2429,JEFFERSON PARK AVE,,Single Family,1.5 Story,B,Shingles,Hardwood,Forced Air,1,1896,8,3,0,2,0,1103,800,Full Basement,Wood,1.50,1507
2295,180034100,2429,JEFFERSON PARK AVE,,Single Family,2 Story,C,Shingles,None,Gas Wall Unit,0,1950,3,1,0,1,0,,,No Basement,Wood,2.00,604
2297,180035000,203,SUNSET AVE,,Single Family,1 Story,C,Shingles,Hardwood,Hot Water Radiator,1,1928,8,3,0,2,0,559,280,Partial Basement,Stucco,1.00,1724
2298,180036000,201,SUNSET AVE,,Single Family,1 Story,C,Shingles,Hardwood,Hot Water Radiator,1,1923,7,3,0,2,0,1491,745,Partial Basement,Stucco,1.00,2526
2299,180037000,105,SUNSET AVE,,Duplex,1.5 Story,B,Shingles,None,Forced Air,0,1954,7,4,1,2,0,740,,Partial Basement,Aluminum,1.50,2108
2300,180037001,0,SUNSET AVE,,Vacant Land,No data,No data,No data,No data,No data,No dat,,No dat,No dat,No dat,No dat,No dat,0,0,No data,No data,No dat,
2301,180039000,100,SUNSET AVE,,Duplex,2 Story,B,Shingles,Hardwood,Forced Air,0,1965,8,4,0,2,0,,,No Basement,Brick Veneer,2.00,1784
2302,180039100,102,SUNSET AVE,,Duplex,2 Story,B,Shingles,Hardwood,Forced Air,0,1960,14,8,0,4,0,896,896,Full Basement,Brick Veneer,2.00,1792
2303,180039200,104,SUNSET AVE,,Duplex,2 Story,B,Shingles,Hardwood,Forced Air,0,1960,14,6,0,4,0,895,895,Full Basement,Brick Veneer,2.00,1790
2304,180039300,106,SUNSET AVE,,Duplex,2 Story,B,Shingles,Hardwood,Heat Pump,0,1960,8,4,0,2,0,,,No Basement,Brick Veneer,2.00,1784
2305,180040000,2503,BRUNSWICK RD,,Single Family,2 Story,B,Slate,Hardwood,Hot Water Radiator,1,1930,10,3,1,1,0,292,0,Partial Basement,Stucco,2.00,2333
2306,180041000,2509,BRUNSWICK RD,,Single Family,1 Sty No Bsmt,C +,Architectural Shingles,Hardwood,Hot Water Radiator,1,1947,4,2,0,1,0,,,No Basement,Concrete Block,1.00,1146
2307,180042000,208,SUNSET AVE,,Single Family,1 Story,C,Shingles,Hardwood,Forced Air,1,1952,8,3,0,2,0,,,No Basement,Asbestos,1.00,1654
2308,180043000,210,SUNSET AVE,,Single Family,1 Story,C,Shingles,Hardwood,Forced Air,0,1956,5,3,0,1,0,977,,Full Basement,Wood,1.00,977
2309,180044000,2511,BRUNSWICK RD,,Single Family-1 Conversion,1 Story,C,Architectural Shingles,Hardwood,Forced Air,1,1955,10,4,0,3,0,1500,965,Full Basement,Wood,1.00,1700
2310,180045000,2515,BRUNSWICK RD,,Single Family,2 Story,B,Shingles,Hardwood,Hot Water Radiator,1,1930,9,6,1,3,0,428,,Full Basement,Wood,2.00,3724
2311,180046000,2521,BRUNSWICK RD,,Single Family,2 Story,B,Shingles,Hardwood,Heat Pump,1,1930,7,3,0,2,0,,,No Basement,Stucco,2.00,1768
2312,180047000,2523,BRUNSWICK RD,,Single Family,2 Story,B,Shingles,Hardwood,Forced Air,1,1930,7,3,1,2,0,0,0,No Basement,Stucco,2.00,2331
2313,180048000,212,SUNSET AVE,,Single Family-1 Conversion,1 Story,C,Shingles,Hardwood,Forced Air,0,1956,9,5,0,2,0,960,960,Full Basement,Wood,1.00,960
2314,180048100,216,SUNSET AVE,,Single Family,1 Story,C,Shingles,Hardwood,Forced Air,0,1957,9,3,0,2,0,960,762,Full Basement,Aluminum,1.00,960
2315,180049000,218,SUNSET AVE,,Single Family-1 Conversion,1 Story,C,Shingles,Hardwood,Forced Air,0,1957,8,4,0,2,0,977,877,Full Basement,Aluminum,1.00,977
2316,180049100,0,JEFFERSON PARK CIR,,Vacant Land,,,,,,,,,,,,,0,0,,,,
2317,180050000,2601,JEFFERSON PARK CIR,,Single Family,2 Story,B,Shingles,Hardwood,Hot Water Radiator,1,1947,7,3,0,2,0,0,0,No Basement,Wood,2.00,1580
2318,180051000,2603,JEFFERSON PARK CIR,,Single Family,1.5 Story,B,Shingles,Hardwood,Hot Water Radiator,1,1947,9,3,1,3,0,0,0,No Basement,Hardy Board,1.75,2620
2319,180052000,2605,JEFFERSON PARK CIR,,Single Family,2 Story,C,Shingles,Hardwood,Hot Water Radiator,2,1947,9,4,0,3,0,873,654,Partial Basement,Aluminum,2.00,1795
2320,180053000,0,SUNSET AVE,,Vacant Land,,,,,,,,,,,,,0,0,,,,
