GPIN,PIN_ALL,PIN_Count,Oldest_Structure,Largest_Structure_SqFT,UseCode_All,Max_UseCodeRisk,Source_All
10459,240153000,1,1978,NA,Single Family Attached,2,Residential
1046,40B003500 | 40B003500 | 40B003500,3,1920,2580,Office Building | Office Building | Office Building,2,Commercial | Commercial | Commercial
10460,240102000,1,1968,NA,Single Family,1,Residential
10461,22A022000,1,1964,NA,Single Family,1,Residential
10462,250087000,1,1925,NA,Single Family,1,Residential
10463,250023100,1,1959,NA,Single Family,1,Residential
10464,18A020000,1,1946,NA,Single Family,1,Residential
10466,570074000,1,1925,NA,Single Family,1,Residential
10467,240230000,1,1975,NA,Single Family Attached,2,Residential
10468,580215000,1,1940,NA,Single Family,1,Residential
10469,210115000,1,1943,NA,Single Family,1,Residential
1047,41A050100,1,1973,NA,Single Family,1,Residential
10470,590033000 | 590033000,2,1920,NA,Single Family | Single Family,1,Residential | Residential
10471,270091900,1,2004,NA,Single Family,1,Residential
10472,240115000,1,1981,NA,Duplex,1,Residential
10473,270091180,1,2004,NA,Single Family,1,Residential
10474,220145000,1,1949,NA,Single Family,1,Residential
10475,250027000,1,1958,NA,Single Family,1,Residential
10476,590226000,1,1900,NA,Single Family,1,Residential
10477,180015000,1,1962,NA,Single Family,1,Residential
10478,240154000,1,1978,NA,Single Family Attached,2,Residential
10479,590213000,1,1949,NA,Single Family,1,Residential
1048,43B012000,1,1959,NA,Single Family,1,Residential
10480,220156100,1,1935,NA,Single Family,1,Residential
10481,560122000,1,NA,NA,Vacant Land,0,Residential
10482,180015500,1,1961,NA,Single Family,1,Residential
10483,240179000,1,1978,NA,Single Family Attached,2,Residential
10484,240072000,1,1967,NA,Single Family-1 Conversion,1,Residential
10485,180028000,1,1914,NA,Single Family,1,Residential
10486,270039000,1,1946,NA,Single Family,1,Residential
10488,580216000,1,1945,1414,Office Building,2,Commercial
10489,570073000,1,1930,NA,Single Family,1,Residential
1049,43B050000,1,1959,NA,Single Family,1,Residential
10490,570123900,1,2007,NA,Single Family,1,Residential
10491,22A034000,1,1962,NA,Single Family,1,Residential
10492,55A145000,1,NA,NA,Parking Lot,0,Residential
10493,22A066000,1,1962,NA,Single Family,1,Residential
10494,250004100,1,1957,NA,Single Family Attached,2,Residential
10495,590202000,1,1920,NA,Single Family,1,Residential
10496,570123120,1,1963,NA,Single Family,1,Residential
10497,240231000,1,1975,NA,Single Family Attached,2,Residential
10498,590034000,1,1940,NA,Single Family,1,Residential
10499,270040000,1,NA,NA,Vacant Land,0,Residential
105,43C102000,1,1965,NA,Single Family,1,Residential
1050,40A016000,1,NA,NA,Vacant Land,0,Residential
10500,590019000,1,1934,NA,Single Family,1,Residential
10501,250088000,1,1925,NA,Single Family,1,Residential
10502,18A021100,1,NA,NA,Vacant Land,0,Residential
10503,22A056000,1,1963,NA,Single Family,1,Residential
10504,240103000,1,1967,NA,Single Family,1,Residential
10505,590212000,1,1949,NA,Single Family,1,Residential
10506,590045000,1,2011,NA,Single Family,1,Residential
10508,18A034000,1,2018,NA,Duplex,1,Residential
10509,560029100,1,NA,NA,Vacant Land,0,Residential
