,parcel_area-objectid,parcel_area-assessment,parcel_area-geoparcelidentificationnumber,parcel_area-legaldescription,parcel_area-lotsquarefeet,parcelnumber,parcel_area-zoning,real_estate_commercial-recordid_int,usecode,yearbuilt,real_estate_commercial-grossarea,real_estate_commercial-storyheight,real_estate_commercial-numberofstories
11738,9299,356700,11070,LOT 16 & PT 15 BK 24 BELMONT,6664.68,600013100,R-1S,,,,,,
11739,9307,166100,11078,LOT 10 BK 34 BELMONT,6054.84,590194100,R-1S,,,,,,
11740,9321,336200,11090,LOT 12 BK B SEC 4 JOHNSON VILL,0.0,22A043000,R-1,,,,,,
11741,9323,209400,11093,LOT 13 BK B JEFFERSON HILLS,9016.92,570123620,R-1S,,,,,,
11742,9347,260600,11116,LOT 3 BK D SEC 1 JOHNSON VILL,0.0,22A071000,R-1,,,,,,
11743,9361,409800,14358,LOT 27 PH 2 HUNTLEY,0.0,18A152000,PUD,,,,,,
11744,9374,211700,11140,LOT 9 BK C JEFFERSON HILLS,10149.48,570123440,R-1S,,,,,,
11745,9376,359200,14435,LOT B76 CHERRY HILL,0.0,22A002760,PUD,,,,,,
11746,9390,279600,11156,LOT 19 BK 24 BELMONT,6054.84,600010000,R-1S,,,,,,
11747,9393,197200,11159,LOT 3 BK 25 BELMONT,6054.84,600184000,R-1S,,,,,,
11748,9399,329200,14436,LOT B77 CHERRY HILL,0.0,22A002770,PUD,,,,,,
11749,9433,365900,14437,LOT B78 CHERRY HILL,0.0,22A002780,PUD,,,,,,
11750,9448,338700,14419,LOT B16 CHERRY HILL,0.0,22A002160,PUD,,,,,,
11751,9457,278000,11225,LOT 4 BK D SEC 3 JOHNSON VILL,0.0,22A072000,R-1,,,,,,
11752,9464,535400,14248,LOT 9 PH 1 HUNTLEY,0.0,18A059000,PUD,,,,,,
11753,9476,276000,11242,LOT 5 BK 35 BELMONT,6054.84,590263000,R-1S,,,,,,
11754,9495,356300,14624,LOT B81 CHERRY HILL,0.0,22A002810,PUD,,,,,,
11755,9505,227100,11265,LOT 6 BK 35 BELMONT,6054.84,590264000,R-1S,,,,,,
11756,9510,322100,14623,LOT B82 CHERRY HILL,0.0,22A002820,PUD,,,,,,
11757,9532,276600,11289,LOT 5 BK D SEC 3 JOHNSON VILL,0.0,22A073000,R-1,,,,,,
11758,9536,46200,14356,LOT 25 PH 2 HUNTLEY,0.0,18A150000,PUD,,,,,,
11759,9540,301800,11295,LOT 11 BK A JEFFERSON HILLS,8319.96,570123220,R-1S,,,,,,
11760,9542,89700,11296,LOT 7 BK 35 BELMONT,6054.84,590264100,R-1S,,,,,,
11761,9543,336700,14474,LOT B10 CHERRY HILL,0.0,22A002101,PUD,,,,,,
11762,9552,194600,11304,LOT 8 BK 30 BELMONT,6054.84,600019000,R-1S,,,,,,
11763,9563,345600,14475,LOT B9 CHERRY HILL,0.0,22A002900,PUD,,,,,,
11764,9564,341300,11315,LOT 31 BK D SEC 4 JOHNSON VILL,0.0,22A078000,R-1,,,,,,
11765,9569,257800,11322,LOT 8 BK 35 BELMONT,6054.84,590264200,R-1S,,,,,,
11766,9570,182400,11324,LOT 12 BK C JEFFERSON HILLS,8145.72,570123410,R-1S,,,,,,
11767,9575,216800,11328,LOT 12 BK 25 BELMONT,6054.84,600179000,R-1S,,,,,,
11768,9576,314800,11329,LOT 16 BK B SEC 4 JOHNSON VILL,0.0,22A047000,R-1,,,,,,
11769,9578,285100,11330,LOTS 14 & 15 BK 30 BELMONT,12109.68,600027000,R-1S,,,,,,
11770,9585,332900,14476,LOT B8 CHERRY HILL,0.0,22A002800,PUD,,,,,,
11771,9593,46200,14357,LOT 24 PH 2 HUNTLEY,0.0,18A149000,PUD,,,,,,
11772,9598,208200,11345,LOT 14 BK 35 BELMONT,6054.84,590271000,R-1S,,,,,,
11773,9599,331800,14621,LOT B84 CHERRY HILL,0.0,22A002840,PUD,,,,,,
11774,9606,197100,11351,LOT 12 BK A JEFFERSON HILLS,9583.2,570123230,R-1S,,,,,,
11775,9620,249000,11365,LOT 13 BK C JEFFERSON HILLS,8145.72,570123401,R-1S,,,,,,
11776,9642,307800,14491,LOT B25 CHERRY HILL,0.0,22A002250,PUD,,,,,,
11777,9647,357700,14619,LOT B86 CHERRY HILL,0.0,22A002860,PUD,,,,,,
11778,9661,363200,14618,LOT B87 CHERRY HILL,0.0,22A002870,PUD,,,,,,
11779,9677,194300,11408,LOT 14 BK C JEFFERSON HILLS,8145.72,570123390,R-1S,,,,,,
11780,9689,301600,11420,LOT 29 BK D SEC 4 JOHNSON VILL,0.0,22A076000,R-1,,,,,,
11781,9691,198500,11422,LOT 10 BK D JEFFERSON HILLS,11194.92,570123250,R-1S,,,,,,
11782,9692,303800,14442,LOT B51 CHERRY HILL,0.0,22A002510,PUD,,,,,,
11783,9693,145200,11423,LOT 6 & PT 5 BK 14 CARLTON,5619.24,560082000,R-2,,,,,,
11784,9694,370300,11424,LOT 2 BK E SEC 4 JOHNSON VILL,0.0,22A080000,R-1,,,,,,
11785,9696,205000,11425,LOT 1 BK 41 BELMONT,6054.84,590274000,R-1S,,,,,,
11786,9719,354200,11445,LOT 28 BK D SEC 4 JOHNSON VILL,0.0,22A075000,R-1,,,,,,
11787,9735,199700,11459,LOT 3 BK 31 BELMONT,6054.84,600170000,R-1S,,,,,,
11788,9739,213900,11463,LOT 13 BK D JEFFERSON HILLS,13808.52,570123650,R-1S,,,,,,
11789,9741,308000,14496,LOT B30 CHERRY HILL,0.0,22A002301,PUD,,,,,,
11790,9747,300900,11471,LOT 3 BK 36 BELMONT,6054.84,600032000,R-1S,,,,,,
11791,9749,499000,11472,LOT 4A BK 26 BELMONT,9452.52,600190000,R-1S,,,,,,
11792,9972,210000,11694,LOT 15 BK 31 BELMONT,6054.84,600162000,R-1S,,,,,,
11793,9975,367700,14527,LOT B66 CHERRY HILL,0.0,22A002660,PUD,,,,,,
